,acceptability,sentence
5666,1,I doubt his sincerity.
7945,0,I said that that Jason was jealous annoyed Medea
2533,0,The teacher meant.
4875,1,the day when I met her was sunny.
1056,0,We voted for me.
555,1,John is touching the wall.
3388,1,He skated Penny around the rink.
4119,1,We know the defendants seem eager to testify against the criminal.
5455,1,John is not a more reliable fellow than Bill.
5789,0,the book with a red cover of poems from Blackwell by Robert Burns takes a very long time to read.
7303,1,We associated their subsidiaries with our corporate office.
8192,1,That Medea murdered Jason didn't surprise anyone.
2801,0,Paula hit the sticks.
6224,1,I blew up the building.
4011,0,John made Mary to cook Korean food.
8073,1,Jason was killed.
387,1,Have they left?
4283,0,There tried to be riots in Seoul.
1597,1,"After Henry had done so, Webster touched a sword."
2050,0,Jill gave the ball at Bob.
1414,0,Faith was had in all kinds of people.
750,1,We proclaimed John sincerely to the public to be a hero.
2498,0,They disappeared their way off the stage.
3904,1,John deposited some money in the checking account on Friday and Mary did the same thing on Monday.
6870,1,Harriet swooned.
8138,1,Which ode did which poet write?
3429,1,"The ball, a man kicked."
5127,1,I ate an apple.
7190,0,"Will put a picture of Bill on your desk before tomorrow, this girl in the red coat will put a picture of Bill on your desk before tomorrow."
7496,0,Sincerity examined a book.
8109,1,"Raffi slept well, and Gillian will too"
4142,0,The characters in Shakespeare's Twelfth Night lives in a world that has been turned upside-down.
4931,1,the box we put the books in is sealed.
4296,1,Stephen believed it to be easy to please Kim.
4508,1,"Mary sang a song, but Lee did not."
5157,1,It was Tom who spilled beer on this couch.
2622,0,Doug removed at the scratches from the tabletop.
5876,0,Traci gave a lollipop.
3358,1,Sylvia squirmed.
437,1,Mickey looked the reference up.
6453,0,Mary didn't see almost any flower.
8547,0,Digitize is my happiest memory
5678,1,I told the story to Daniel.
1947,0,I didn't eat any ice cream and any cake.
2076,1,Smith envied Jones his good fortune.
1813,1,This violin is tough to play sonatas on.
6160,1,John believes him to have been at the game.
3053,1,Susan whispered the news to Rachel.
962,0,John tries to meet often Mary.
2173,1,Kelly adores French fabrics.
8072,1,Some disgruntled old pigs in those ditches love truffles
3248,1,Tony bent the rod against the table.
3724,1,The cat devoured the rat.
1034,1,Every student has to come up with three arguments that show that some condition proposed by Bill is wrong.
5235,0,I'm glad I saw anybody.
7435,0,John will have been eating enthusiastically cake.
3132,0,Paul exhaled at Mary.
4598,1,Never have I stolen from any members of your family.
6450,1,Pick any of these flowers.
5413,1,He looks so formidable.
1567,0,"It never occurred to Harvey because he is insensitive to other people's desires that, I might want to leave."
1017,0,Guinevere has a single bone that is in every corner of the house.
1603,0,I will if I can work on it.
4280,0,John seems to be easy to fool Ben.
5851,1,You can lead a horse to water but will it drink?
5871,0,Rosemary hates.
4502,1,Lee will not leave.
2370,1,They praised the volunteers for their dedication.
5293,0,"He's a man to whom as for liberty, we could never grant it."
5813,1,Ivan got a headache on Wednesday from the disgruntled students of phonology from Michigan.
1699,1,Maxwell isn't half the doctor that people around here believe that his father was.
3648,0,The monkey eager to leave the meeting.
5102,1,What you heard was an explosion.
8,1,We're dancing the night away.
6169,1,The fact that I like strawberry flavored milk shakes is none of your business.
3350,1,The rabbit vanished into thin air.
75,1,Sam cut himself free.
4297,0,Stephen persuaded it to be easy to please Kim.
7286,1,My nephew could write letters to his parents with a fountain pen.
2015,0,Felicia sent the box off the shelf.
4678,1,This should be attended to immediately.
8522,0,"He can't possibly do that, possibly he?"
1553,1,"Tom, Dick, and Harry ate, drank, and sang."
3386,1,We walked ourselves into a state of exhaustion.
6973,1,People go hunting in the Autumn.
7340,1,I liked Mary.
8089,1,Can I keep the screwdriver just like a carpenter keep the screwdriver?
5624,1,I hope nobody will hurt himself.
2165,1,Margaret cut the string.
5268,1,John whined that he was hungry.
7465,0,Should not Mary taste the soup?
6829,1,All the armies of Europe marched over these fields.
8327,1,"So that he could escape, Jason became invisible"
4114,1,The public never had faith in his ability to handle the job.
2254,1,Martha climbed up the mountain.
382,1,Which politician appointed the journalist who supported him?
3990,0,They want to wrote to her.
6345,1,John loves his puppy.
566,1,The terrorist escaped the prison cell.
429,1,It's probable that in general he understands what's going on.
3690,1,He has a rail pass that's right for you.
5497,1,So eminent a scholar as Dr. Lucille Hein was here.
4327,1,They persuaded me to leave.
5935,1,The apple was bitten.
7686,1,John convinced Bill to visit Mary.
7874,1,Paul had three affairs . . .
2028,0,I gave the package to London.
5165,1,I believe it to be her father who was primarily responsible.
7947,1,These expensive and illegal bottles of Absinthe are to be smuggled from Hungary.
3590,1,The umpire fell off the deck.
6907,1,Sue knows the answer.
7056,0,I will go and bought some whiskey.
7162,1,This girl in the red coat will put a picture of Bill on your desk after the dinner.
5910,1,Stacy hit a baseball to Julia.
6416,0,John talked to any powerful politician.
5202,1,Every student who handed in any homework will get a prize.
5375,1,John eats more than he sleeps.
3111,0,Cynthia devoured .
7184,1,"That you must go to the station, Mary should know that you must go to the station."
8309,1,Bill's reading Shakespeare and Maureen's singing Schubert satisfy me
368,0,Mary thinks that John said that Susan likes pictures of himself?
2025,1,Where did you throw the ball? To third base.
8187,1,Alison and David soaked their feet in the kitchen
6755,0,Catherine feared that was the Abbey haunted.
4965,0,Which professor did they meet someone who knows?
8100,1,Which girl ate the cake?
