,Premise,Hypothesis,Label
120348,There are obstacles for innovation that the participants recognized.,"However, the participants recognized that one of the big obstacles for innovation in",entailment
380466,They had so much money from their father's inheritance that they were practically giving it away.,those guys at one point you know they had so much money that they didn't know what to do with it,neutral
64218,Rocklands Bird Sanctuary is a popular destination for tourists.,"Near the town of Anchovy, Rocklands Bird Sanctuary offers a fascinating close-up encounter with the birds of Jamaica.",neutral
28840,This work creates a noticeable amount of results and often times takes a great amount of effort.,We recognized that this work often entails a great deal of effort and produces significant results.,entailment
27585,"You're right, that rule about street crossings is hilarious.",but you're right it it that that is a funny rule at least uh,neutral
123100,The walls were built upon the tombstones from the Dutch era.,Granite tombstones from the Dutch era stand against the walls.,contradiction
123006,Maryland Legal Services Corporation received a three-year $1 million grant.,"Recommendations from the planning process led to the development of the Maryland Legal Assistance Network (MLAN), funded by the Open Society Institute through a three-year $1 million grant to the Maryland Legal Services Corporation.",entailment
199012,The colossi were built to be tall and face the sun to absorb power from it.,"The four monumental colossi of Ramses II that frame the entrance stand 20 m (65 ft) high and they are aligned to face the rising sun, to be infused with the energy of the sun god each day.",entailment
266514,The 14 minute song Tout de Suite is one of Davis' best songs.,"What's more, the band's final album, Filles de Kilimanjaro , on which Hancock and Carter perform on electric instruments, produced one of Davis' indisputable masterpieces, the majestic 14 minute Tout de Suite.",entailment
52896,Most people here don't take their faith very seriously.,"Next, pass under a series of soaring gopurams, where you can witness religion as a full-time daily occupation.",contradiction
375467,She could just do those things by hand.,right she could just as easily do those things by hand,entailment
116053,Her facial muscles got stiff.,Her face stiffened.,entailment
262198,It had it's flaws but the weapon still reflecting the morning light.,"The hilt was a web of steel bars and the blade, though plain and chipped, shone in the morning light.",entailment
24835,There is only the one cathedral located in the town.,"Northwest of the cathedral, you'll find an even more beautiful adaptation of the Pisan Romanesque style of architecture in the town's other beloved church, San Michele in Foro, less encumbered on its site of the ancient Roman Forum.",contradiction
43398,I use it to drive to and from work.,i take it back and forth to work and then my wife's got a a an eighty four Parisian Pontiac,entailment
281,The last 5 years of research have a higher proportion influence.,Research over the last 20 years has changed the scientific view of life.,neutral
